path,path_length,mpnet_surprise_corr,mpnet_curiosity_corr,paper_surprise_corr,paper_curiosity_corr,surprise_small_jumps_rate,surprise_medium_jumps_rate,surprise_large_jumps_rate,curiosity_small_jumps_rate,curiosity_medium_jumps_rate,curiosity_large_jumps_rate
Animation;The_Lion_King;Television;Technology;Integrated_circuit,5,0.8073645790829069,0.9897769291279881,0.7201609849363538,0.933984782264961,0.0,0.0,1.0,0.0,0.33,0.67
Ant;South_Africa;Europe;World_War_II;Adolf_Hitler,5,-0.9615305920144009,0.8435865687627219,-0.9316307378060292,0.7924550737053592,0.0,0.33,0.67,0.0,0.67,0.33
Arithmetic;Algorithm;Clock;Solar_System;Moon,5,0.7696830549234727,0.73008827767949,0.9803637140760539,0.935902628917894,0.33,0.33,0.33,0.33,0.67,0.0
Art;Medicine;Human;Organism;Bacteria,5,0.7660802421986793,0.9976659102336781,0.877536724069459,0.7562186210328766,0.0,0.33,0.67,0.0,0.33,0.67
Atlantic_slave_trade;Continent;Earth;Dinosaur;Pterosaur,5,-0.8495334908237618,-0.7639366275724451,-0.9124210579836665,-0.8153366990770703,0.67,0.0,0.33,0.0,0.33,0.67
Bamako;Sub-Saharan_Africa;Europe;<;Guinea,5,1.0,-1.0,0.9812214519137292,-0.9485981347591729,0.67,0.33,0.0,0.33,0.33,0.33
Battle_of_Alesia;France;United_States;President_of_the_United_States;Ronald_Reagan,5,0.988578032453654,-0.989871394102756,0.9066925676131962,-0.9444245354855862,0.0,0.33,0.67,0.33,0.67,0.0
Battle_of_Alesia;France;United_States;President_of_the_United_States;Ronald_Reagan,5,0.988578032453654,-0.989871394102756,0.9066925676131962,-0.9444245354855862,0.0,0.33,0.67,0.33,0.67,0.0
Bird;19th_century;Germany;World_War_II;Adolf_Hitler,5,-0.7142153272249984,0.872777298979866,-0.8846882800312558,0.7699300897019444,0.0,0.67,0.33,0.0,0.67,0.33
Bird;People%27s_Republic_of_China;Russia;Nazi_Germany;Adolf_Hitler,5,0.9055173692609595,0.903212301186845,0.721091041743342,0.8728884966196047,0.0,1.0,0.0,0.0,1.0,0.0
Bird;Latin;United_States;World_War_II;Adolf_Hitler,5,-0.8292897291575816,0.81028782858244,-0.7295583149797527,0.8171656625415283,0.0,0.67,0.33,0.0,1.0,0.0
Bird;Latin;United_States;World_War_II;Adolf_Hitler,5,-0.8292897291575816,0.81028782858244,-0.7295583149797527,0.8171656625415283,0.0,0.67,0.33,0.0,1.0,0.0
Bird;People%27s_Republic_of_China;Russia;Nazi_Germany;Adolf_Hitler,5,0.9055173692609595,0.903212301186845,0.721091041743342,0.8728884966196047,0.0,1.0,0.0,0.0,1.0,0.0
Bird;People%27s_Republic_of_China;Russia;Nazi_Germany;Adolf_Hitler,5,0.9055173692609595,0.903212301186845,0.721091041743342,0.8728884966196047,0.0,1.0,0.0,0.0,1.0,0.0
Bird;People%27s_Republic_of_China;Socialism;Nazism;Adolf_Hitler,5,0.8280687822470315,0.7626116806008407,0.7588245607693543,0.7688080398087717,0.67,0.33,0.0,0.0,0.67,0.33
Black_Death;Alchemy;Gold;Periodic_table;Rhodium,5,0.904828501991504,0.7203280375174158,0.8261896510487712,0.8547507338005064,0.33,0.67,0.0,0.33,0.67,0.0
Black_Death;Cattle;Meat;Poultry;Chicken,5,0.9262253487982339,0.8929858714984165,0.9920795937801423,0.9012498792664375,0.33,0.33,0.33,0.0,0.33,0.67
Black_Death;Cattle;Meat;Poultry;Chicken,5,0.9262253487982339,0.8929858714984165,0.9920795937801423,0.9012498792664375,0.33,0.33,0.33,0.0,0.33,0.67
Black_Death;Cattle;Meat;Poultry;Chicken,5,0.9262253487982339,0.8929858714984165,0.9920795937801423,0.9012498792664375,0.33,0.33,0.33,0.0,0.33,0.67
Bolivia;Mining;<;Gold;Platinum,5,0.9999999999999999,-1.0,0.9310581478356191,-0.8405834595192475,0.67,0.33,0.0,0.33,0.33,0.33
Brazil;Agriculture;Nitrogen;Hydrochloric_acid;Hydrogen,5,0.8557380649479528,-0.893443870723679,0.8681176902472459,-0.9557044714856129,0.67,0.33,0.0,0.67,0.33,0.0
Cat;Cyprus;European_Union;World_War_II;Adolf_Hitler,5,-0.9206045794270846,0.7926107149014564,-0.8703415678460916,0.8924638949314063,0.0,0.67,0.33,0.33,0.67,0.0
Chromium;Chemical_element;Periodic_table;Uranium;Nuclear_power,5,-0.7389874575366919,-0.962163152318584,-0.8523768844390044,-0.7816089636686938,0.67,0.33,0.0,0.0,0.67,0.33
